desk,company,location,link,salary
Internship,PT. Sigma Cipta Caraka (Telkomsigma),"Kota Tangerang Selatan, Banten, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/internship-at-pt-sigma-cipta-caraka-telkomsigma-4204042494?position=1&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=7cMIwdqycqSd%2BhEbzSsWzA%3D%3D,-
KNIP NutriImpact - Research and Development - Internship,Kalbe Nutritionals (PT Sanghiang Perkasa),"East Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/knip-nutriimpact-research-and-development-internship-at-kalbe-nutritionals-pt-sanghiang-perkasa-4185613951?position=2&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=E5HxFXsKZXwRQC3%2BUSFWcw%3D%3D,-
KNIP NutriImpact - Business Insight and Data Science Division - Internship,Kalbe Nutritionals (PT Sanghiang Perkasa),"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/knip-nutriimpact-business-insight-and-data-science-division-internship-at-kalbe-nutritionals-pt-sanghiang-perkasa-4184438203?position=3&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=Pp%2FwBkAR3RcLQQmJmj%2FRXA%3D%3D,-
Data Analyst - SPX Express (Jakarta),Shopee,"Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/data-analyst-spx-express-jakarta-at-shopee-4192944426?position=4&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=FInA2MdlqunTQDtV2wlCig%3D%3D,-
"Data Analyst, Business Intelligence",Shopee,"Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/data-analyst-business-intelligence-at-shopee-3611204797?position=5&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=PW7%2FstTr0DYUtiLDj5RVcg%3D%3D,-
Corporate Banking Business Analyst,PT. BANK NEGARA INDONESIA (Persero) Tbk.,Jakarta Metropolitan Area,https://www.linkedin.comhttps://id.linkedin.com/jobs/view/corporate-banking-business-analyst-at-pt-bank-negara-indonesia-persero-tbk-4131647197?position=6&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=cPF4dclNCKfzdezljHKYQg%3D%3D,-
Digital Marketing Analyst,PT ASTRA OTOPARTS Tbk,"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/digital-marketing-analyst-at-pt-astra-otoparts-tbk-4014377478?position=7&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=BaFIlHFI2hOpTxNaBf7LMA%3D%3D,-
Data Analyst,INDICO by Telkomsel,"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/data-analyst-at-indico-by-telkomsel-4192803815?position=8&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=S8anPtL5W%2FZ%2Fsz3PTqfFWA%3D%3D,-
Quality Assurance Intern (GVN),Kalbe Nutritionals (PT Sanghiang Perkasa),"West Karawang, West Java, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/quality-assurance-intern-gvn-at-kalbe-nutritionals-pt-sanghiang-perkasa-4051877941?position=9&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=fwYf0yUZEF0NNYxegmQmfQ%3D%3D,-
Microsoft Engineer (Entry Level - Jogja),PT. Sigma Cipta Caraka (Telkomsigma),"Yogyakarta, Yogyakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/microsoft-engineer-entry-level-jogja-at-pt-sigma-cipta-caraka-telkomsigma-4208648639?position=10&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=EJvTFHqWTCM4ueE6oRQo5A%3D%3D,-
Junior Python Engineer - Healthcare AI,Nao Medical,"South Sulawesi, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/junior-python-engineer-healthcare-ai-at-nao-medical-4171285953?position=11&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=XG6fMJHLmqmeqZBmmMhQTw%3D%3D,-
Backend Developer (Python) - Junior,SIGMATECH,"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/backend-developer-python-junior-at-sigmatech-4190292945?position=12&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=1fCio1KtigcfVy9kPaw%2Bvg%3D%3D,-
Astra Graduate Program Batch 14,PT Astra International Tbk,"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/astra-graduate-program-batch-14-at-pt-astra-international-tbk-4204887789?position=13&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=QAoWUe%2BATEZRmAUgtgdYag%3D%3D,-
BCA Development Program IT (BDP IT),PT Bank Central Asia Tbk (BCA),"Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/bca-development-program-it-bdp-it-at-pt-bank-central-asia-tbk-bca-4180094758?position=14&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=gxCvcX%2FUbuVWyeXsG9WtLw%3D%3D,-
Data Analyst Marketing,PT ASTRA OTOPARTS Tbk,"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/data-analyst-marketing-at-pt-astra-otoparts-tbk-4014381150?position=15&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=jrKnJR3enrNkaJ7kZR1iUQ%3D%3D,-
Data Analyst,Permodalan Nasional Madani (Persero),"South Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/data-analyst-at-permodalan-nasional-madani-persero-4204595885?position=16&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=tkS3V58bZzcDLEQa8%2ByhNw%3D%3D,-
KNIP NutriImpact - IT Division - Internship,Kalbe Nutritionals (PT Sanghiang Perkasa),"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/knip-nutriimpact-it-division-internship-at-kalbe-nutritionals-pt-sanghiang-perkasa-4184437098?position=17&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=XcP4%2ByLeCJ%2FVStRaaJ4wyw%3D%3D,-
Business Data Analyst,CIMB Niaga,"Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/business-data-analyst-at-cimb-niaga-4141527562?position=18&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=BrvQKC5S0yXMsPol3aOoyg%3D%3D,-
Business Intelligence Intern,tiket.com,"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/business-intelligence-intern-at-tiket-com-4206298290?position=19&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=944Th6usWN8MCToYyoTHxw%3D%3D,-
"Shop | Tokopedia - Data Analysis and Research Intern, Creator (Indonesia) - 2025 Start",TikTok,"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/shop-tokopedia-data-analysis-and-research-intern-creator-indonesia-2025-start-at-tiktok-4145683677?position=20&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=e3BESUwGTQmfRz7n8xsvCw%3D%3D,-
Python Developer,Mandiri Daya Utama Nusantara,"Kebon Jeruk, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/python-developer-at-mandiri-daya-utama-nusantara-4205763624?position=21&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=9LCye%2Bv%2Fin63OHtq4qS4wg%3D%3D,-
Business Analyst,PT SANTOS JAYA ABADI (Kapal Api Global),"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/business-analyst-at-pt-santos-jaya-abadi-kapal-api-global-4186517183?position=22&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=DRuHVfpLud8AP4inUHmVAA%3D%3D,-
Data Analytics Consultant (Junior & Senior),EY,"Gambir, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/data-analytics-consultant-junior-senior-at-ey-4193412492?position=23&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=rSZkW7jLNh7KPq3Uh0IQRw%3D%3D,-
Python Developer,PT Adicipta Inovasi Teknologi,"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/python-developer-at-pt-adicipta-inovasi-teknologi-4195350853?position=24&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=8nMUryPBe9u9sUofR8MlSA%3D%3D,-
Data Science Intern,tiket.com,"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/data-science-intern-at-tiket-com-4206297320?position=25&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=jrIEmpORoAELzumSjlLdaQ%3D%3D,-
Management Associate Program 2025 - Indonesia,UOB,Jakarta Metropolitan Area,https://www.linkedin.comhttps://id.linkedin.com/jobs/view/management-associate-program-2025-indonesia-at-uob-4062117493?position=26&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=z2FrXddMET2dyt1zKV6l2g%3D%3D,-
Automation Machine Engineer,Kalbe Nutritionals (PT Sanghiang Perkasa),"West Karawang, West Java, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/automation-machine-engineer-at-kalbe-nutritionals-pt-sanghiang-perkasa-4184438146?position=27&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=X16WaaZFZdKu%2FVGKzr2hVA%3D%3D,-
Data Scientist Intern,PT. Lintas Teknologi Indonesia,"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/data-scientist-intern-at-pt-lintas-teknologi-indonesia-4162691086?position=28&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=kuDvpQsitYPwCGReVEbnJQ%3D%3D,-
Demand Planner,Kalbe Nutritionals (PT Sanghiang Perkasa),"West Karawang, West Java, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/demand-planner-at-kalbe-nutritionals-pt-sanghiang-perkasa-4180291738?position=29&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=Vg2txwk%2FVSJk3hciG49pnQ%3D%3D,-
Business Intelligence Lead Analyst,PT Bank Sinarmas Tbk,"South Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/business-intelligence-lead-analyst-at-pt-bank-sinarmas-tbk-4184557710?position=30&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=6NPP%2Bcpz6xFt%2BZTP4wfc%2Bw%3D%3D,-
Software Engineer (Junior/Fresh Graduate),Argus Labs,Indonesia,https://www.linkedin.comhttps://id.linkedin.com/jobs/view/software-engineer-junior-fresh-graduate-at-argus-labs-4004929713?position=31&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=0P6MwH0vFlP2GGprGJ5yDA%3D%3D,-
Data Warehouse Intern,tiket.com,"Jakarta, Jakarta, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/data-warehouse-intern-at-tiket-com-4206297317?position=32&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=FfszAFMctmpWDWHFyV1dNg%3D%3D,-
Research & Development Staff,PT SANTOS JAYA ABADI (Kapal Api Global),"Sidoarjo, East Java, Indonesia",https://www.linkedin.comhttps://id.linkedin.com/jobs/view/research-development-staff-at-pt-santos-jaya-abadi-kapal-api-global-4150601781?position=33&pageNum=0&refId=Nlrm0e4cr62aAcyBNiaSeQ%3D%3D&trackingId=MgssBICzKqkZAiXZTL%2F5rA%3D%3D,-
