desk,company,location,link,salary
Finance Staff,EAGLE INDO PHARMA (CAP LANG),"Jatiuwung, Tangerang, Banten",https://www.glints.com/id/opportunities/jobs/finance-staff/54a16580-28d9-4d26-a729-511cee84c156?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,Gaji Tidak Ditampilkan
Quality Control Operator,EAGLE INDO PHARMA (CAP LANG),"Jatiuwung, Tangerang, Banten",https://www.glints.com/id/opportunities/jobs/quality-control-operator/d3e3c153-6817-47d7-8aa4-9639ac485703?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,Gaji Tidak Ditampilkan
Technician Mechanical,EAGLE INDO PHARMA (CAP LANG),"Tangerang, Tangerang, Banten",https://www.glints.com/id/opportunities/jobs/technician-mechanical/1d45d545-4a5e-48b4-aaea-5cde7d7820ec?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,Gaji Tidak Ditampilkan
Product Development (RnD) Staff,EAGLE INDO PHARMA (CAP LANG),"Tangerang, Tangerang, Banten",https://www.glints.com/id/opportunities/jobs/product-development-rnd-staff/3fe1f22b-aade-4631-b4da-2cc518023d3c?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,Gaji Tidak Ditampilkan
IT SAP B1 Functional Consultant,EAGLE INDO PHARMA (CAP LANG),"Tangerang, Tangerang, Banten",https://www.glints.com/id/opportunities/jobs/it-sap-b1-functional-consultant/f057b931-4286-4cb6-a1fa-91d7588f9c07?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,Gaji Tidak Ditampilkan
Legal,Kalaborasi Grup Indonesia,"Pinang, Tangerang, Banten",https://www.glints.com/id/opportunities/jobs/legal/098535f1-63fd-4f65-acc0-2fa9e446a341?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,Rp 4jt-6jt
Sales Motoris,Majoo Indonesia,"Pancoran, Jakarta Selatan, DKI Jakarta",https://www.glints.com/id/opportunities/jobs/sales-motoris/97df7d93-1944-40fa-924b-f2d4d70d18be?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,Rp 5jt-6jt
Sales Canvasser,Majoo Indonesia,"Pancoran, Jakarta Selatan, DKI Jakarta",https://www.glints.com/id/opportunities/jobs/sales-canvasser/1733aced-2484-45d5-8471-57b7a78ff2f4?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,Rp 5jt-6jt
Guru Les,PT. Sumber Ilmu Pengetahuan,"Cipondoh, Tangerang, Banten",https://www.glints.com/id/opportunities/jobs/guru-les/deaa4deb-6499-4d07-a47b-ddf8834f3894?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,Rp 3jt-4jt
Human Resources General Affairs,PT Pesona Kemilau Kreasi,"Kalideres, Jakarta Barat, DKI Jakarta",https://www.glints.com/id/opportunities/jobs/human-resources-general-affairs/86bd71c6-1b02-4da0-aafe-d92fbd5eb50d?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,Rp 4jt-5jt
Mandarin Translator,PT Senmy Kosmetik Indonesia,"Teluknaga, Kab. Tangerang, Banten",https://www.glints.com/id/opportunities/jobs/mandarin-translator/bb1aeabf-2639-4f9c-b906-691f0bcf752f?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,Rp 8jt-10jt
Supir Truk,Talentive Consulting Indonesia,"Tugu, Semarang, Jawa Tengah",https://www.glints.com/id/opportunities/jobs/supir-truk/29d3dd8e-e29b-4161-a067-00bb10efa69f?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,"Rp 2,1jt-3jt"
Building Technician to Tripoli - Libya,Elite Tutors Indonesia,"Setiabudi, Jakarta Selatan, DKI Jakarta",https://www.glints.com/id/opportunities/jobs/building-technician-to-tripoli-libya/fe32dae0-2a13-4111-b318-f9fecba28408?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,"Rp 5,5jt-6jt"
Housekeeper to Tripoli - Libya,Elite Tutors Indonesia,"Setiabudi, Jakarta Selatan, DKI Jakarta",https://www.glints.com/id/opportunities/jobs/housekeeper-to-tripoli-libya/b324e8b7-0779-4ba5-9eb8-255c5d2aee4b?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,"Rp 6,4jt-6,5jt"
Car Washer to Tripoli - Libya,Elite Tutors Indonesia,"Setiabudi, Jakarta Selatan, DKI Jakarta",https://www.glints.com/id/opportunities/jobs/car-washer-to-tripoli-libya/5ccf4d42-b84a-4819-a9cd-ec24bb097bcf?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,"Rp 5,5jt-6jt"
SDR Intern,Glints,"Setiabudi, Jakarta Selatan, DKI Jakarta",https://www.glints.com/id/opportunities/jobs/sdr-intern/dd18de13-2342-4716-9d52-f1f738cef613?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,Gaji Tidak Ditampilkan
TEAM MARKETING,Racing Work Indonesia,"Geger, Kab. Madiun, Jawa Timur",https://www.glints.com/id/opportunities/jobs/team-marketing/df904e55-c208-4481-b61c-e6f4bc9f00fb?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,Rp 1jt-2jt
Procurement Intern,PT Inovasi Sukses Sentosa,"Cipondoh, Tangerang, Banten",https://www.glints.com/id/opportunities/jobs/procurement-intern/da79ec4d-abcf-4629-ba39-ffccbb4e7591?utm_referrer=explore&traceInfo=ed2f0c4a-1e7b-4017-944b-48590f3369af,"Rp 1jt-1,2jt"
