desk,company,location,link,salary
Staf Tata Usaha Sekolah,Yayasan Yasporbi,di Yayasan Yasporbi,https://www.jobstreet.co.id/id/job/82947788?type=standard&ref=search-standalone,-
Store Manager,PT Sepatu Kreatif Indonesia,di PT Sepatu Kreatif Indonesia,https://www.jobstreet.co.id/id/job/83416560?type=standard&ref=search-standalone,-
Staf HRD,PT Furindo Sakti Sejahtera,di PT Furindo Sakti Sejahtera,https://www.jobstreet.co.id/id/job/82963452?type=standard&ref=search-standalone,-
Staff PPIC,PT Sinarindo Wiranusa Elektrik,di PT Sinarindo Wiranusa Elektrik,https://www.jobstreet.co.id/id/job/83626647?type=standard&ref=search-standalone,-
Store Manager,PT Viventis Search Asia,di PT Viventis Search Asia,https://www.jobstreet.co.id/id/job/83574460?type=standard&ref=search-standalone,-
GA/HR/Secretary,PT Hyundai Corp Indonesia,di PT Hyundai Corp Indonesia,https://www.jobstreet.co.id/id/job/82924263?type=standard&ref=search-standalone,-
Customer Service,PT. Sunset Bali Properti,di PT. Sunset Bali Properti,https://www.jobstreet.co.id/id/job/83341499?type=standard&ref=search-standalone,-
Customer Services Officer,Singapore Airlines Limited,di Singapore Airlines Limited,https://www.jobstreet.co.id/id/job/83010337?type=standard&ref=search-standalone,-
Admin Purchasing,PT Saras Subur Abadi,di PT Saras Subur Abadi,https://www.jobstreet.co.id/id/job/83608286?type=standard&ref=search-standalone,-
Exclusive Beauty Advisor,PT Muda Berkarya Adv,di PT Muda Berkarya Adv,https://www.jobstreet.co.id/id/job/83329756?type=standard&ref=search-standalone,-
Business Development Management Trainee 2025,PT Tawada Healthcare,di PT Tawada Healthcare,https://www.jobstreet.co.id/id/job/83538475?type=standard&ref=search-standalone,-
PPIC STAFF,PT Anugrah Sukses Marine,di PT Anugrah Sukses Marine,https://www.jobstreet.co.id/id/job/83629061?type=standard&ref=search-standalone,-
Hiin Graduate Program Executives,Hiin Holdings Pte Ltd,di Hiin Holdings Pte Ltd,https://www.jobstreet.co.id/id/job/83241127?type=standard&ref=search-standalone,-
Billing Staff,"PT Bliss Properti Indonesia, Tbk","di PT Bliss Properti Indonesia, Tbk",https://www.jobstreet.co.id/id/job/83614122?type=standard&ref=search-standalone,-
Customer Service Officer,PT Avery Dennison,di PT Avery Dennison,https://www.jobstreet.co.id/id/job/83484023?type=standard&ref=search-standalone,-
QC - Audit Outlet,PT Citarasa Kuliner Indonesia (Cimol Bojot AA),di PT Citarasa Kuliner Indonesia (Cimol Bojot AA),https://www.jobstreet.co.id/id/job/83555322?type=standard&ref=search-standalone,-
Purchasing Staff,"PT. Zyrexindo Mandiri Buana, Tbk","di PT. Zyrexindo Mandiri Buana, Tbk",https://www.jobstreet.co.id/id/job/83564855?type=standard&ref=search-standalone,-
QC Officer (Fruit & Vegetable),PT Kreasi Nostra Mandiri,di PT Kreasi Nostra Mandiri,https://www.jobstreet.co.id/id/job/83542133?type=standard&ref=search-standalone,-
Frontliner (Customer Service),"PT Bank Bumi Arta, Tbk","di PT Bank Bumi Arta, Tbk",https://www.jobstreet.co.id/id/job/83626636?type=standard&ref=search-standalone,-
Operation Manager,Taman Safari Indonesia,di Taman Safari Indonesia,https://www.jobstreet.co.id/id/job/83496592?type=standard&ref=search-standalone,-
HR Recruitment,PT Sinar Sukses Mandiri,di PT Sinar Sukses Mandiri,https://www.jobstreet.co.id/id/job/82981085?type=standard&ref=search-standalone,-
Marketing Support Staff (Kawasan Industri),PT PANCA TERANG ABADI,Dibutuhkan segera,https://www.jobstreet.co.id/id/job/83624384?type=standard&ref=search-standalone,-
Assistant Manager General Affair (GA),PT Sumi Rubber Indonesia (Dunlop),di PT Sumi Rubber Indonesia (Dunlop),https://www.jobstreet.co.id/id/job/83321916?type=standard&ref=search-standalone,-
Secretary,PT Indoturbine,di PT Indoturbine,https://www.jobstreet.co.id/id/job/83440979?type=standard&ref=search-standalone,-
Administration Relationship Corporate and Banking,PT Benteng Multi Indotama,di PT Benteng Multi Indotama,https://www.jobstreet.co.id/id/job/83530393?type=standard&ref=search-standalone,-
GA Supervisor,PT Intercell Mitra Santika,Dibutuhkan segera,https://www.jobstreet.co.id/id/job/83334926?type=standard&ref=search-standalone,-
Accounting & Finance Admin Staff,PT Valvindo Megah,di PT Valvindo Megah,https://www.jobstreet.co.id/id/job/83635045?type=standard&ref=search-standalone,-
Treasury Officer,PT Navya Retail Indonesia,di PT Navya Retail Indonesia,https://www.jobstreet.co.id/id/job/83377882?type=standard&ref=search-standalone,-
OPERATION MANAGER,Pelita Timur,di Pelita Timur,https://www.jobstreet.co.id/id/job/83498819?type=standard&ref=search-standalone,-
Civil Engineer,PT Mandiri Herindo Adiperkasa,di PT Mandiri Herindo Adiperkasa,https://www.jobstreet.co.id/id/job/83605512?type=standard&ref=search-standalone,-
PROCUREMENT AND CONTRACT HEAD,PT Multiwira Mitra Perkasa,di PT Multiwira Mitra Perkasa,https://www.jobstreet.co.id/id/job/83365970?type=standard&ref=search-standalone,-
Sales Admin & Tech Support,PT. Wana Dirga Nusantara,di PT. Wana Dirga Nusantara,https://www.jobstreet.co.id/id/job/83433016?type=standard&ref=search-standalone,-
